PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0,0.130888,0.246364,0,0,0,0.0362492,0.586499,4,1,1.81137,0.0109048,0,1.42205,0.35811,0.0287026,0
0.0130609,0.0263324,0.282284,0,0,0,0.346535,0.331789,4,1,2.00147,0.0213123,0,1.59456,0.349933,0.0276854,0
0.0125265,0.158605,0.364617,0,0,0,0.279052,0.185199,4,1,1.78011,0.0102708,0,1.4376,0.334236,0.0257411,0
0,0.117073,0.269268,0,0,0,0.163902,0.449756,4,1,1.89878,0.0120937,0,1.47128,0.280272,0.0312316,0
0.0116429,0.0323415,0.304873,0,0,0,0.296248,0.354894,4,1,2.14101,0.0213777,0,1.6851,0.470987,0.0319,0
0,0.115503,0.357628,0,0,0,0.334363,0.192506,4,1,1.80976,0.0109109,0,1.4533,0.396057,0.0275357,0
0.0107779,0.029522,0.268978,0,0,0,0.309747,0.380975,4,1,2.015,0.0236424,0,1.58884,0.458934,0.0340101,0
0,0.09876,0.345881,0,0,0,0.315766,0.239593,4,1,1.8822,0.0126493,0,1.49368,0.386859,0.0322369,0
0,0.0890052,0.263874,0,0,0,0.0319372,0.615183,4,1,1.88901,0.0133172,0,1.45642,0.33858,0.0367792,0
0,0.0659341,0.120879,0,0,0,0.010989,0.802198,4,1,2.3956,0.064,0,1.752,0.362667,0.162573,0
0.0060241,0.0180723,0.13253,0,0,0,0.0180723,0.825301,4,1,2.3253,0.0393013,0,1.68996,0.366812,0.100975,0
0.00472813,0.165485,0.264775,0,0,0,0,0.565012,4,1,1.75177,0.0145985,0,1.35401,0.363595,0.0608416,0
